startup_name,category,pricing_model,target_users,features,competitors
StackForge,Developer Tools,Subscription,DevOps teams,"CI/CD analytics; Deployment automation; Error insights","CircleCI; GitLab; Jenkins"
GreenLedger,Climate Tech,Usage-based,ESG consultants,"Carbon audits; Sustainability reports; Climate analytics","Persefoni; Plan A; Emitwise"
RouteSphere,Logistics,Enterprise,Courier companies,"Fleet monitoring; Route planning; Delivery analytics","Onfleet; Bringg; Samsara"
UrbanMetrics,Real Estate,Usage-based,Investors,"Rental yield analysis; AI valuation; Neighborhood insights","Redfin; Zillow; Roofstock"
FlowSync AI,AI Automation,Freemium,Small businesses,"No-code automation; AI assistants; Workflow templates","Zapier; Make; Airtable"
PulseClinic,Healthcare,Subscription,Doctors,"Voice-to-notes; Prescription support; Appointment analytics","Suki AI; DeepScribe; Athenahealth"
LedgerMind,Finance,Freemium,Freelancers,"Expense management; Tax estimation; Invoice automation","QuickBooks; FreshBooks; Wave"
BrainPath,Education,Usage-based,EdTech companies,"Learning analytics; AI assessments; Personalized content","Quizlet; Coursera; Udemy"
ThreatMatrix,Cybersecurity,Enterprise,Security analysts,"SIEM automation; Threat intelligence; Risk dashboards","Splunk; IBM QRadar; CrowdStrike"
HireOrbit,HR,Usage-based,Enterprises,"AI recruitment; Skill matching; Workforce planning","LinkedIn Talent Solutions; Workday; Greenhouse"
AdVista AI,Marketing,Subscription,Ecommerce brands,"Creative generation; Customer targeting; ROI analytics","Canva; Jasper; HubSpot"
